mailing_recipient_id,count(mailing_recipient_click_type_id)
3,1
591,1
902,1
1104,1
1315,1
1349,1
1360,1
1562,1
1678,1
1981,1
2574,1
2673,1
3192,1
3413,1
4011,1
4228,1
4280,1
4364,1
4462,1
5352,1
5512,1
6553,1
7058,1
7087,1
7436,1
7447,1
7490,1
7576,1
7778,1
8258,1
8265,1
8310,1
8799,1
9069,1
9325,1
9505,1
9582,1
9878,1
10030,1
10547,1
10740,1
10858,1
11182,1
11378,1
11622,1
11859,1
12118,1
12623,1
12653,1
12701,1
13073,1
13100,1
13485,1
14006,1
14222,1
14360,1
14839,1
15141,1
15212,1
15845,1
16015,1
16465,1
16766,1
16801,1
17087,1
17236,1
17950,1
18022,1
18374,1
18417,1
18801,1
19013,1
19122,1
19217,1
19220,1
19499,1
19879,1
20365,1
20721,1
20790,1
20981,1
21001,1
21112,1
21524,1
21652,1
21745,1
21750,1
21879,1
22246,1
22490,1
22799,1
23392,1
24883,1
25294,1
25692,1
25693,1
25700,1
25887,1
25994,1
26353,1
26926,1
27217,1
27245,1
27442,1
27549,1
27565,1
27665,1
27705,1
27877,1
28400,1
28465,1
28580,1
28675,1
28866,1
29363,1
29800,1
30039,1
30148,1
30156,1
30399,1
30495,1
30769,1
30809,1
31067,1
31334,1
31401,1
32354,1
32533,1
33781,1
33988,1
34306,1
34352,1
34396,1
34887,1
34917,1
35192,1
35238,1
35248,1
35286,1
35651,1
35802,1
35898,1
37275,1
37346,1
37594,1
37847,1
38071,1
38104,1
38308,1
38498,1
38591,1
38858,1
39308,1
39386,1
39762,1
39791,1
40244,1
40297,1
40557,1
40677,1
40718,1
40763,1
40927,1
41514,1
41700,1
41919,1
42375,1
42530,1
42540,1
42636,1
42659,1
42699,1
42832,1
42888,1
42956,1
43581,1
43848,1
44081,1
44234,1
45195,1
45228,1
45349,1
45442,1
45453,1
45736,1
46061,1
46230,1
46248,1
46360,1
46584,1
47051,1
47171,1
47537,1
47785,1
47826,1
48353,1
48399,1
48569,1
48883,1
49105,1
49388,1
49521,1
50020,1
50220,1
50343,1
50733,1
50745,1
50956,1
50984,1
51584,1
51934,1
52197,1
52244,1
52661,1
52779,1
53437,1
53621,1
53671,1
53744,1
53800,1
53805,1
53836,1
54039,1
54258,1
54449,1
54563,1
54781,1
55224,1
55248,1
56746,1
56827,1
57137,1
58669,1
58685,1
58687,1
59081,1
59214,1
59270,1
59622,1
59709,1
59862,1
60115,1
60282,1
60561,1
61048,1
61265,1
61447,1
62139,1
62247,1
62391,1
62599,1
62712,1
63126,1
63862,1
63893,1
63971,1
64057,1
64098,1
64487,1
64817,1
64965,1
65070,1
65130,1
65447,1
66195,1
66483,1
66763,1
66861,1
67388,1
67623,1
67631,1
68148,1
68218,1
68907,1
69221,1
69318,1
69775,1
70566,1
70724,1
71324,1
71382,1
72100,1
72272,1
72350,1
72545,1
72738,1
72937,1
73110,1
73394,1
73625,1
73743,1
73940,1
74048,1
74165,1
74507,1
75599,1
75712,1
76211,1
76363,1
76570,1
76837,1
76959,1
77257,1
77385,1
77402,1
77459,1
77588,1
77644,1
78516,1
78531,1
78812,1
78849,1
78859,1
78904,1
78913,1
78954,1
79425,1
79506,1
79711,1
79799,1
79958,1
80069,1
80132,1
80157,1
80183,1
80291,1
81318,1
81849,1
82009,1
82055,1
82337,1
82347,1
82471,1
82907,1
83005,1
83216,1
83292,1
83349,1
83472,1
83814,1
84254,1
84887,1
85005,1
85086,1
85168,1
85498,1
85566,1
85593,1
86127,1
86369,1
86373,1
86376,1
86443,1
87139,1
87352,1
87423,1
87437,1
87471,1
87775,1
87843,1
88074,1
88170,1
88183,1
88265,1
88679,1
88957,1
88971,1
89221,1
89981,1
90311,1
91099,1
91151,1
91239,1
91326,1
91613,1
91642,1
91735,1
91745,1
91836,1
92293,1
92401,1
93158,1
93849,1
93916,1
93925,1
94043,1
94047,1
94067,1
94118,1
94159,1
94167,1
94188,1
94488,1
94631,1
94714,1
94981,1
95083,1
95697,1
95996,1
96544,1
96637,1
96882,1
97105,1
97191,1
97304,1
97520,1
98152,1
98175,1
98678,1
98713,1
98719,1
98908,1
98983,1
99058,1
99117,1
99433,1
99983,1
100056,1
100379,1
100417,1
100423,1
100676,1
100807,1
101302,1
101384,1
102007,1
102071,1
102326,1
102355,1
102706,1
102795,1
103173,1
103641,1
103920,1
104317,1
104403,1
104662,1
104751,1
104922,1
105169,1
105200,1
105217,1
105309,1
105551,1
105758,1
106358,1
106516,1
106794,1
106812,1
106920,1
106999,1
107005,1
107266,1
107318,1
107378,1
107444,1
107962,1
108170,1
108267,1
108799,1
108834,1
108980,1
109122,1
109354,1
109578,1
109618,1
109715,1
109880,1
109882,1
110055,1
110112,1
110165,1
110299,1
110375,1
110437,1
110792,1
110874,1
111048,1
111088,1
111552,1
111602,1
111831,1
112584,1
113260,1
113281,1
113634,1
114001,1
114026,1
114250,1
114421,1
114605,1
114700,1
115213,1
115289,1
115436,1
116096,1
116404,1
116424,1
116436,1
116488,1
116518,1
117211,1
117222,1
117297,1
117642,1
118234,1
118386,1
118400,1
118520,1
118592,1
118940,1
119014,1
119057,1
120222,1
120341,1
121018,1
121574,1
121758,1
121765,1
121992,1
122618,1
123019,1
123862,1
123917,1
124099,1
124431,1
124680,1
125283,1
125772,1
125847,1
126005,1
126259,1
126431,1
126454,1
126574,1
126972,1
127059,1
127167,1
127326,1
127402,1
127432,1
127447,1
127468,1
127744,1
128050,1
128060,1
128064,1
128472,1
128607,1
128873,1
128885,1
129713,1
129792,1
130252,1
130457,1
130552,1
130775,1
130975,1
131322,1
131776,1
132063,1
132200,1
132530,1
132593,1
132879,1
132881,1
132882,1
133613,1
134383,1
134656,1
135123,1
135399,1
135629,1
135735,1
135832,1
136001,1
136361,1
136414,1
136497,1
136742,1
136765,1
136849,1
136869,1
136945,1
137074,1
137085,1
137306,1
137338,1
137747,1
138342,1
138633,1
138710,1
138830,1
138981,1
139014,1
139098,1
139295,1
139337,1
139490,1
139680,1
139827,1
139915,1
140038,1
140041,1
141031,1
141418,1
141747,1
142303,1
142352,1
142396,1
142409,1
142716,1
142920,1
143344,1
143456,1
143743,1
144191,1
144264,1
144398,1
144539,1
145024,1
145384,1
145632,1
146009,1
146557,1
146616,1
147188,1
147219,1
147544,1
148354,1
148769,1
