mailing_recipient_id,count(mailing_recipient_click_type_id)
3,1
16,1
21,1
24,1
34,1
35,1
48,1
60,1
73,1
77,1
80,1
100,1
101,1
110,1
122,1
127,1
128,1
136,1
151,1
161,1
173,1
246,1
251,1
274,1
278,1
296,1
300,1
307,1
319,1
321,1
346,1
355,1
400,1
412,1
441,1
447,1
461,1
467,1
480,1
488,1
495,1
497,1
503,1
529,1
537,1
542,1
554,1
583,1
591,1
599,1
606,1
616,1
618,1
631,1
635,1
639,1
641,1
655,1
688,1
693,1
694,1
734,1
739,1
771,1
783,1
805,1
828,1
849,1
851,1
855,1
868,1
873,1
875,1
876,1
887,1
902,1
903,1
911,1
943,1
954,1
994,1
1027,1
1032,1
1037,1
1050,1
1051,1
1070,1
1077,1
1078,1
1090,1
1104,1
1124,1
1133,1
1142,1
1157,1
1167,1
1179,1
1189,1
1214,1
1215,1
1229,1
1254,1
1266,1
1270,1
1277,1
1296,1
1302,1
1310,1
1315,1
1318,1
1346,1
1349,1
1352,1
1360,1
1361,1
1380,1
1402,1
1414,1
1437,1
1440,1
1444,1
1461,1
1469,1
1475,1
1478,1
1502,1
1536,1
1541,1
1562,1
1567,1
1568,1
1570,1
1581,1
1585,1
1601,1
1602,1
1614,1
1624,1
1627,1
1637,1
1668,1
1678,1
1724,1
1736,1
1737,1
1759,1
1763,1
1767,1
1776,1
1779,1
1810,1
1816,1
1834,1
1837,1
1865,1
1879,1
1888,1
1902,1
1910,1
1913,1
1914,1
1916,1
1938,1
1945,1
1956,1
1959,1
1973,1
1979,1
1981,1
2011,1
2012,1
2042,1
2053,1
2079,1
2085,1
2096,1
2123,1
2134,1
2135,1
2174,1
2185,1
2198,1
2203,1
2218,1
2219,1
2225,1
2233,1
2244,1
2267,1
2282,1
2286,1
2295,1
2302,1
2306,1
2341,1
2344,1
2351,1
2372,1
2384,1
2398,1
2408,1
2414,1
2427,1
2431,1
2462,1
2479,1
2485,1
2493,1
2509,1
2522,1
2531,1
2536,1
2548,1
2574,1
2598,1
2604,1
2609,1
2620,1
2648,1
2651,1
2655,1
2669,1
2673,1
2684,1
2700,1
2711,1
2714,1
2733,1
2756,1
2764,1
2777,1
2781,1
